
VENDOR                                                                                                                                                                                                    ,ADDRESS                                                                                                        ,SECOND ADDRESS                                              ,CITY                                                        ,ZIP  ,COUNTY                                                      ,LATITUDE               ,LONGITUDE
"SAVE MART #078"                                                                                                                                                                                          ,1107 E Champlain Dr                                                                                            ,                                                            ,Fresno                                                      ,93720,Fresno                                                      , 36.8707910            ,-119.7649370
"FOOD MAXX #414"                                                                                                                                                                                          ,5422 N Blackstone Ave                                                                                          ,                                                            ,Fresno                                                      ,93710,Fresno                                                      , 36.8167500            ,-119.7900850
"SAVE MART #087"                                                                                                                                                                                          ,1157 N Willow Ave                                                                                              ,                                                            ,Clovis                                                      ,93611,Fresno                                                      , 36.8509800            ,-119.7284780
"FOOD MAXX #459"                                                                                                                                                                                          ,1355 Shaw Ave                                                                                                  ,                                                            ,Clovis                                                      ,93612,Fresno                                                      , 36.8086710            ,-119.6914860
"FOOD MAXX #456"                                                                                                                                                                                          ,1177 Fresno St                                                                                                 ,                                                            ,Fresno                                                      ,93706,Fresno                                                      , 36.7318460            ,-119.8019170
"SAVE MART #092"                                                                                                                                                                                          ,4120 N West Ave                                                                                                ,                                                            ,Fresno                                                      ,93705,Fresno                                                      , 36.7914500            ,-119.8262020
"SAVE MART #098"                                                                                                                                                                                          ,1835 Herndon Ave                                                                                               ,                                                            ,Clovis                                                      ,93611,Fresno                                                      , 36.8386410            ,-119.6824190
"SAVE MART #093"                                                                                                                                                                                          ,6797 N Milburn Ave                                                                                             ,                                                            ,Fresno                                                      ,93722,Fresno                                                      , 36.8362520            ,-119.8811300
"SAVE MART #088"                                                                                                                                                                                          ,275 W Forest Ave                                                                                               ,                                                            ,Coalinga                                                    ,93210,Fresno                                                      , 36.1351970            ,-120.3606540
"SAVE MART #650"                                                                                                                                                                                          ,4043 W Clinton Ave                                                                                             ,                                                            ,Fresno                                                      ,93722,Fresno                                                      , 36.7716870            ,-119.8633860
"SAVE MART #651"                                                                                                                                                                                          ,5750 N First St                                                                                                ,                                                            ,Fresno                                                      ,93710,Fresno                                                      , 36.8222090            ,-119.7714810
"SAVE MART #654"                                                                                                                                                                                          ,909 Sierra St                                                                                                  ,                                                            ,Kingsburg                                                   ,93631,Fresno                                                      , 36.5181900            ,-119.5577990
"FOOD MAXX #499"                                                                                                                                                                                          ,5671 E KINGS CANYON RD                                                                                         ,                                                            ,Fresno                                                      ,93727,Fresno                                                      , 36.7369100            ,-119.6962240
"FOOD MAXX #401"                                                                                                                                                                                          ,6300 WHITE LN                                                                                                  ,                                                            ,Bakersfield                                                 ,93309,Kern                                                        , 35.3190810            ,-119.0728300
"SAVE MART #064"                                                                                                                                                                                          ,841 Tucker Rd                                                                                                  ,                                                            ,Tehachapi                                                   ,93561,Kern                                                        , 35.1228680            ,-118.4687020
"FOOD MAXX #413"                                                                                                                                                                                          ,6465 Niles St                                                                                                  ,                                                            ,Bakersfield                                                 ,93306,Kern                                                        , 35.3750740            ,-118.9331310
"FOOD MAXX #453"                                                                                                                                                                                          ,4400 Ming Ave                                                                                                  ,                                                            ,Bakersfield                                                 ,93309,Kern                                                        , 35.3396270            ,-119.0506740
"SAVE MART #096"                                                                                                                                                                                          ,9600 Hageman Rd                                                                                                ,                                                            ,Bakersfield                                                 ,93312,Kern                                                        , 35.3995670            ,-119.1084210
"SAVE MART #036"                                                                                                                                                                                          ,715 W Grangeville Blvd                                                                                         ,                                                            ,Hanford                                                     ,93230,Kings                                                       , 36.3413700            ,-119.6561960
"SAVE MART #073"                                                                                                                                                                                          ,105 W Hanford-Armona Rd                                                                                        ,                                                            ,Lemoore                                                     ,93245,Kings                                                       , 36.3130520            ,-119.7826720
"SAVE MART #077"                                                                                                                                                                                          ,1504 Howard Rd                                                                                                 ,                                                            ,Madera                                                      ,93637,Madera                                                      , 36.9516830            ,-120.0763360
"SAVE MART #103"                                                                                                                                                                                          ,1225 E Robertson Blvd                                                                                          ,                                                            ,Chowchilla                                                  ,93610,Madera                                                      , 37.1162350            ,-120.2684650
"SAVE MART #053"                                                                                                                                                                                          ,150 W Olive Ave                                                                                                ,                                                            ,Merced                                                      ,95348,Merced                                                      , 37.3171170            ,-120.4707320
"FOOD MAXX #487"                                                                                                                                                                                          ,1300 W Olive Ave                                                                                               ,                                                            ,Merced                                                      ,95348,Merced                                                      , 37.3182730            ,-120.4921020
"SAVE MART #102"                                                                                                                                                                                          ,1701 Bellevue Rd                                                                                               ,                                                            ,Atwater                                                     ,95301,Merced                                                      , 37.3621450            ,-120.6122740
"SAVE MART #631"                                                                                                                                                                                          ,1400 Mercey Springs Rd                                                                                         ,                                                            ,Los Banos                                                   ,93635,Merced                                                      , 37.0570660            ,-120.8353400
"SAVE MART #608"                                                                                                                                                                                          ,2054 Nevada City Hwy                                                                                           ,                                                            ,Grass Valley                                                ,95945,Nevada                                                      , 39.2392720            ,-121.0378190
"SAVE MART #627"                                                                                                                                                                                          ,11399 Deerfield Dr                                                                                             ,                                                            ,Truckee                                                     ,96161,Nevada                                                      , 39.3193070            ,-120.2091030
"SAVE MART #600"                                                                                                                                                                                          ,386 Elm Ave                                                                                                    ,                                                            ,Auburn                                                      ,95603,Placer                                                      , 38.9056130            ,-121.0738180
"SAVE MART #616"                                                                                                                                                                                          ,3021 Stanford Ranch Rd                                                                                         ,                                                            ,Rocklin                                                     ,95765,Placer                                                      , 38.8158090            ,-121.2591830
"SAVE MART #617"                                                                                                                                                                                          ,5060 Foothills Blvd                                                                                            ,                                                            ,Roseville                                                   ,95747,Placer                                                      , 38.7602570            ,-121.3125190
"SAVE MART #626"                                                                                                                                                                                          ,100 WEST RIVER RD                                                                                              ,                                                            ,Tahoe City                                                  ,96145,Placer                                                      , 39.1679440            ,-120.1457110
"SAVE MART #072"                                                                                                                                                                                          ,1059 C St                                                                                                      ,                                                            ,Galt                                                        ,95632,Sacramento                                                  , 38.2531310            ,-121.2971090
"FOOD MAXX #464"                                                                                                                                                                                          ,3860 Florin Rd                                                                                                 ,                                                            ,Sacramento                                                  ,95823,Sacramento                                                  , 38.4950680            ,-121.4608370
"FOOD MAXX #420"                                                                                                                                                                                          ,6982 Sunrise Blvd                                                                                              ,                                                            ,Citrus Heights                                              ,95610,Sacramento                                                  , 38.6929630            ,-121.2715620
"SAVE MART #601"                                                                                                                                                                                          ,4708 Manzanita Ave                                                                                             ,                                                            ,Carmichael                                                  ,95608,Sacramento                                                  , 38.6497770            ,-121.3260350
"SAVE MART #605"                                                                                                                                                                                          ,9160 Elk Grove Florin Rd                                                                                       ,                                                            ,Elk Grove                                                   ,95624,Sacramento                                                  , 38.4248210            ,-121.3727270
"FOOD MAXX #488"                                                                                                                                                                                          ,3291 Truxel Rd                                                                                                 ,                                                            ,Sacramento                                                  ,95833,Sacramento                                                  , 38.6270810            ,-121.4984480
"SAVE MART #619"                                                                                                                                                                                          ,7960 Gerber Rd                                                                                                 ,                                                            ,Sacramento                                                  ,95828,Sacramento                                                  , 38.4808300            ,-121.4097910
"SAVE MART #622"                                                                                                                                                                                          ,5600 Folsom Blvd                                                                                               ,                                                            ,Sacramento                                                  ,95819,Sacramento                                                  , 38.5579370            ,-121.4386380
"SAVE MART #623"                                                                                                                                                                                          ,9137 Kiefer Blvd                                                                                               ,                                                            ,Sacramento                                                  ,95826,Sacramento                                                  , 38.5472620            ,-121.3606110
"SAVE MART #625"                                                                                                                                                                                          ,2501 Fair Oaks Blvd                                                                                            ,                                                            ,Sacramento                                                  ,95825,Sacramento                                                  , 38.5743340            ,-121.4039110
"FOOD MAXX #497"                                                                                                                                                                                          ,7477 Watt Ave                                                                                                  ,                                                            ,North Highlands                                             ,95660,Sacramento                                                  , 38.7028960            ,-121.3840650
"SAVE MART #012"                                                                                                                                                                                          ,1431 W YOSEMITE AVE                                                                                            ,                                                            ,Manteca                                                     ,95336,San Joaquin                                                 , 37.7980280            ,-121.2381480
"SAVE MART #039"                                                                                                                                                                                          ,4725 QUAIL LAKES DR                                                                                            ,                                                            ,Stockton                                                    ,95207,San Joaquin                                                 , 37.9864280            ,-121.3422600
"FOOD MAXX #447"                                                                                                                                                                                          ,610 W KETTLEMAN LN                                                                                             ,                                                            ,Lodi                                                        ,95240,San Joaquin                                                 ,38.11389               ,-121.2814
"SAVE MART #386"                                                                                                                                                                                          ,1172 N Main St                                                                                                 ,                                                            ,Manteca                                                     ,95336,San Joaquin                                                 , 37.8132480            ,-121.2154630
"SAVE MART #334"                                                                                                                                                                                          ,3215 Pacific Ave                                                                                               ,                                                            ,Stockton                                                    ,95204,San Joaquin                                                 , 37.9777020            ,-121.3054030
"SAVE MART #091"                                                                                                                                                                                          ,7506 Pacific Ave                                                                                               ,                                                            ,Stockton                                                    ,95207,San Joaquin                                                 , 38.0174600            ,-121.3226220
"SAVE MART #094"                                                                                                                                                                                          ,15240 S Harlan Rd                                                                                              ,                                                            ,Lathrop                                                     ,95330,San Joaquin                                                 , 37.8234430            ,-121.2882710
"SAVE MART #655"                                                                                                                                                                                          ,530 W LODI AVE                                                                                                 ,                                                            ,Lodi                                                        ,95240,San Joaquin                                                 , 38.1292510            ,-121.2812290
"SAVE MART #781"                                                                                                                                                                                          ,875 S Tracy Blvd                                                                                               ,                                                            ,Tracy                                                       ,95376,San Joaquin                                                 , 37.7239530            ,-121.4366990
"SAVE MART #100"                                                                                                                                                                                          ,1453 Goodwin Dr                                                                                                ,                                                            ,Ripon                                                       ,95366,San Joaquin                                                 , 37.7527780            ,-121.1355740
"FOOD MAXX #490"                                                                                                                                                                                          ,1950 W 11th St                                                                                                 ,                                                            ,Tracy                                                       ,95376,San Joaquin                                                 , 37.7376040            ,-121.4515280
"FOOD MAXX #477"                                                                                                                                                                                          ,1330 Churn Creek Rd                                                                                            ,                                                            ,Redding                                                     ,96003,Shasta                                                      , 40.5878180            ,-122.3521190
"MAXX VALUE FOODS #250"                                                                                                                                                                                   ,415 Paradise Rd                                                                                                ,                                                            ,Modesto                                                     ,95351,Stanislaus                                                  , 37.6273040            ,-121.0125640
"SAVE MART #048"                                                                                                                                                                                          ,1449 E F St                                                                                                    ,                                                            ,Oakdale                                                     ,95361,Stanislaus                                                  , 37.7699580            ,-120.8312300
"SAVE MART #049"                                                                                                                                                                                          ,2100 Standiford Ave                                                                                            ,                                                            ,Modesto                                                     ,95350,Stanislaus                                                  , 37.6887580            ,-121.0329820
"SAVE MART #066"                                                                                                                                                                                          ,1631 Lander Ave                                                                                                ,                                                            ,Turlock                                                     ,95380,Stanislaus                                                  , 37.4770850            ,-120.8505550
"FOOD MAXX #407"                                                                                                                                                                                          ,1845 Countryside Ln                                                                                            ,                                                            ,Turlock                                                     ,95380,Stanislaus                                                  , 37.5095860            ,-120.8774910
"FOOD MAXX #410"                                                                                                                                                                                          ,2020 W Briggsmore Ave                                                                                          ,                                                            ,Modesto                                                     ,95350,Stanislaus                                                  , 37.6696970            ,-121.0286760
"SAVE MART #371"                                                                                                                                                                                          ,2595 Geer Rd                                                                                                   ,                                                            ,Turlock                                                     ,95380,Stanislaus                                                  , 37.5158190            ,-120.8499870
"SAVE MART #082"                                                                                                                                                                                          ,1035 Sperry Rd                                                                                                 ,                                                            ,Patterson                                                   ,95363,Stanislaus                                                  , 37.4647950            ,-121.1414720
"SAVE MART #086"                                                                                                                                                                                          ,801 Oakdale Rd Ste C                                                                                           ,                                                            ,Modesto                                                     ,95355,Stanislaus                                                  , 37.6537170            ,-120.9588730
"SAVE MART #105"                                                                                                                                                                                          ,2237 Claribel Rd                                                                                               ,                                                            ,Riverbank                                                   ,95367,Stanislaus                                                  , 37.7110490            ,-120.9596030
"SAVE MART #095"                                                                                                                                                                                          ,3601 Pelandale St                                                                                              ,                                                            ,Modesto                                                     ,95356,Stanislaus                                                  , 37.7006410            ,-121.0630310
"SAVE MART #635"                                                                                                                                                                                          ,2920 E Whitmore Ave                                                                                            ,                                                            ,Ceres                                                       ,95307,Stanislaus                                                  , 37.5935360            ,-120.9394460
"FOOD MAXX #471"                                                                                                                                                                                          ,1232 Colusa Ave                                                                                                ,                                                            ,Yuba City                                                   ,95991,Sutter                                                      , 39.1407900            ,-121.6333370
